"id","observed_on","lon","lat","species_guess","place_guess","taxon.id","taxon.name","taxon.rank","taxon.ancestry","taxon.common_name.id","taxon.common_name.name","taxon.common_name.is_valid","taxon.common_name.lexicon","iconic_taxon.id","iconic_taxon.name","iconic_taxon.rank","iconic_taxon.rank_level"
142621136,"2020-08-06","-75.8501918603","45.3518584579","Eastern Garter Snake","Greenbelt, Ottawa, ON, Canada",28365,"Thamnophis sirtalis sirtalis","subspecies","48460/1/2/355675/26036/26172/85553/26504/532896/28339/28362",152264,"Eastern Garter Snake",TRUE,"English",26036,"Reptilia","class",50
142610588,"2022-08-28","-80.3863901204","45.5052887896","Massasauga","Parry Sound, CA-ON, CA",520469,"Sistrurus catenatus","species","48460/1/2/355675/26036/26172/85553/30667/797576/30979",893262,"Massasauga",TRUE,"English",26036,"Reptilia","class",50
142490774,"2022-11-20","-79.3267283333","43.6310583333","Dekay's Brownsnake","Tommy Thompson Park, Toronto, ON, CA",28562,"Storeria dekayi","species","48460/1/2/355675/26036/26172/85553/26504/532896/28555",226021,"Dekay's Brownsnake",TRUE,"English",26036,"Reptilia","class",50
142476624,"2022-10-10","-73.4622027778","45.6094361111","Common Garter Snake","Boucherville, QC, Canada",28362,"Thamnophis sirtalis","species","48460/1/2/355675/26036/26172/85553/26504/532896/28339",77867,"Common Garter Snake",TRUE,"English",26036,"Reptilia","class",50
142264361,"2022-06-16","-75.7657467574","45.470076513","Eastern Milksnake","District de l'Oree - du - Parc, Gatineau, QC, Canada",515419,"Lampropeltis triangulum","species","48460/1/2/355675/26036/26172/85553/26504/797520/29768",850979,"Eastern Milksnake",TRUE,"English",26036,"Reptilia","class",50
142197893,"2022-05-28","-102.577699388","49.111974027","Common Snapping Turtle","Coalfields No. 4, SK S0C, Canada",39682,"Chelydra serpentina","species","48460/1/2/355675/26036/39532/39680/39681",202145,"Common Snapping Turtle",TRUE,"English",26036,"Reptilia","class",50
142159250,"2022-09-22","-80.5584116667","45.92448","Eastern Garter Snake","Grundy Lake, Parry Sound, Unorganized, Centre Part, ON, CA",28365,"Thamnophis sirtalis sirtalis","subspecies","48460/1/2/355675/26036/26172/85553/26504/532896/28339/28362",152264,"Eastern Garter Snake",TRUE,"English",26036,"Reptilia","class",50
142147988,"2022-11-11","-79.30645","44.6349966667","Midland Painted Turtle","Monck Rd, Ramara, ON, CA",39772,"Chrysemys picta marginata","subspecies","48460/1/2/355675/26036/39532/39760/797544/39770/39771",151468,"Midland Painted Turtle",TRUE,"English",26036,"Reptilia","class",50
142139765,"2022-10-28","-65.1805305556","44.4318333333","Maritime Garter Snake","Annapolis County, NS, Canada",28370,"Thamnophis sirtalis pallidulus","subspecies","48460/1/2/355675/26036/26172/85553/26504/532896/28339/28362",191883,"Maritime Garter Snake",TRUE,"English",26036,"Reptilia","class",50
142102869,"2022-10-27","-64.0368333333","45.0397195","Eastern Painted Turtle","Route 215, West Hants, NS, CA",39775,"Chrysemys picta picta","subspecies","48460/1/2/355675/26036/39532/39760/797544/39770/39771",202234,"Eastern Painted Turtle",TRUE,"English",26036,"Reptilia","class",50
142086698,"2018-10-10","-75.865594086","45.3405280752","Eastern Garter Snake","Greenbelt, Ottawa, ON, Canada",28365,"Thamnophis sirtalis sirtalis","subspecies","48460/1/2/355675/26036/26172/85553/26504/532896/28339/28362",152264,"Eastern Garter Snake",TRUE,"English",26036,"Reptilia","class",50
142086509,"2018-09-26","-75.8610764299","45.3408745825","Eastern Garter Snake","Greenbelt, Ottawa, ON, Canada",28365,"Thamnophis sirtalis sirtalis","subspecies","48460/1/2/355675/26036/26172/85553/26504/532896/28339/28362",152264,"Eastern Garter Snake",TRUE,"English",26036,"Reptilia","class",50
142082893,"2018-07-06","-75.8523965","45.3417614","Eastern Garter Snake","Watts Creek Pathway, Ottawa, ON, Canada",28365,"Thamnophis sirtalis sirtalis","subspecies","48460/1/2/355675/26036/26172/85553/26504/532896/28339/28362",152264,"Eastern Garter Snake",TRUE,"English",26036,"Reptilia","class",50
142065687,"2022-11-14","-64.7283194444","44.3742722222","Northern Redbelly Snake","Chelsea, NS B4V 7L7, Canada",28559,"Storeria occipitomaculata occipitomaculata","subspecies","48460/1/2/355675/26036/26172/85553/26504/532896/28555/28557",99026,"Northern Redbelly Snake",TRUE,"English",26036,"Reptilia","class",50
141933352,"2022-11-07","-76.1232528333","45.0621861667","Red-bellied Snake","7th Line Beckwith, Carleton Place, ON, CA",28557,"Storeria occipitomaculata","species","48460/1/2/355675/26036/26172/85553/26504/532896/28555",136926,"Red-bellied Snake",TRUE,"English",26036,"Reptilia","class",50
141932554,"2022-11-13","-122.0743333333","49.135925","Valley Garter Snake","Dyke Crest Rd, Chilliwack, BC, CA",28371,"Thamnophis sirtalis fitchi","subspecies","48460/1/2/355675/26036/26172/85553/26504/532896/28339/28362",100944,"Valley Garter Snake",TRUE,"English",26036,"Reptilia","class",50
141932518,"2022-11-13","-122.0783778333","49.1350445","Valley Garter Snake","Dyke Crest Rd, Chilliwack, BC, CA",28371,"Thamnophis sirtalis fitchi","subspecies","48460/1/2/355675/26036/26172/85553/26504/532896/28339/28362",100944,"Valley Garter Snake",TRUE,"English",26036,"Reptilia","class",50
141790221,"2022-11-12","-75.6461146183","44.9870574556","Unisexual Mole Salamander","Leeds and Grenville, CA-ON, CA",477020,"Ambystoma 'unisexual complex'","hybrid","48460/1/2/355675/20978/26718/26720/26721",765356,"Unisexual Mole Salamander",TRUE,"English",20978,"Amphibia","class",50
141789259,"2017-09-15","-75.8523965","45.3417614","Northern Redbelly Snake","Watts Creek Pathway, Ottawa, ON, Canada",28559,"Storeria occipitomaculata occipitomaculata","subspecies","48460/1/2/355675/26036/26172/85553/26504/532896/28555/28557",99026,"Northern Redbelly Snake",TRUE,"English",26036,"Reptilia","class",50
141788396,"2017-09-14","-75.8523965","45.3417614","Northern Redbelly Snake","Watts Creek Pathway, Ottawa, ON, Canada",28559,"Storeria occipitomaculata occipitomaculata","subspecies","48460/1/2/355675/26036/26172/85553/26504/532896/28555/28557",99026,"Northern Redbelly Snake",TRUE,"English",26036,"Reptilia","class",50
141723500,"2022-11-11","-79.0438","44.7241583333","Turtle","Kris Starr",39772,"Chrysemys picta marginata","subspecies","48460/1/2/355675/26036/39532/39760/797544/39770/39771",151468,"Midland Painted Turtle",TRUE,"English",26036,"Reptilia","class",50
141721897,"2022-11-11","-79.0479444444","44.7247111111","Eastern Garter Snake","Kris Starr",28365,"Thamnophis sirtalis sirtalis","subspecies","48460/1/2/355675/26036/26172/85553/26504/532896/28339/28362",152264,"Eastern Garter Snake",TRUE,"English",26036,"Reptilia","class",50
141701591,"2022-11-11","-63.6268","44.6396033333","Northern Ringneck Snake","St Margarets Bay Rd, Halifax, NS, CA",26591,"Diadophis punctatus edwardsii","subspecies","48460/1/2/355675/26036/26172/85553/26504/797518/26574/26575",190930,"Northern Ringneck Snake",TRUE,"English",26036,"Reptilia","class",50
141633077,"2017-09-09","-75.8525931956","45.341742197","Northern Redbelly Snake","Greenbelt, Ottawa, ON, Canada",28559,"Storeria occipitomaculata occipitomaculata","subspecies","48460/1/2/355675/26036/26172/85553/26504/532896/28555/28557",99026,"Northern Redbelly Snake",TRUE,"English",26036,"Reptilia","class",50
141612535,"2022-11-08","-78.2891537664","44.3618899267","Midland Painted Turtle","Nassau Mills Rd, Peterborough, ON, CA",39772,"Chrysemys picta marginata","subspecies","48460/1/2/355675/26036/39532/39760/797544/39770/39771",151468,"Midland Painted Turtle",TRUE,"English",26036,"Reptilia","class",50
141611880,"2022-10-11","-73.4450174233","45.6459104176","Couleuvre rayée de l'Est","Parc de la Frayère, Boucherville, QC, Canada",28365,"Thamnophis sirtalis sirtalis","subspecies","48460/1/2/355675/26036/26172/85553/26504/532896/28339/28362",152264,"Eastern Garter Snake",TRUE,"English",26036,"Reptilia","class",50
141608390,"2022-11-09","-75.723655","44.9488","Northern Redbelly Snake","Craig Rd, North Grenville, ON, CA",28559,"Storeria occipitomaculata occipitomaculata","subspecies","48460/1/2/355675/26036/26172/85553/26504/532896/28555/28557",99026,"Northern Redbelly Snake",TRUE,"English",26036,"Reptilia","class",50
141413538,"2022-11-07","-75.703122162","44.9262621311","Unisexual Mole Salamander","Leeds and Grenville, CA-ON, CA",477020,"Ambystoma 'unisexual complex'","hybrid","48460/1/2/355675/20978/26718/26720/26721",765356,"Unisexual Mole Salamander",TRUE,"English",20978,"Amphibia","class",50
141413454,"2022-11-07","-75.7210083333","44.9502333333","Northern Redbelly Snake","Craig Rd, North Grenville, ON, CA",28559,"Storeria occipitomaculata occipitomaculata","subspecies","48460/1/2/355675/26036/26172/85553/26504/532896/28555/28557",99026,"Northern Redbelly Snake",TRUE,"English",26036,"Reptilia","class",50
141413404,"2022-11-07","-75.7235033333","44.9489283333","","Craig Rd, North Grenville, ON, CA",20979,"Anura","order","48460/1/2/355675/20978",85005,"Frogs and Toads",TRUE,"English",20978,"Amphibia","class",50
141290261,"2022-11-06","-81.5016943216","45.07419114","Eastern Milksnake","Miller Lake, ON N0H 1Z0, Canada",515419,"Lampropeltis triangulum","species","48460/1/2/355675/26036/26172/85553/26504/797520/29768",850979,"Eastern Milksnake",TRUE,"English",26036,"Reptilia","class",50
141266096,"2022-10-29","-75.8287580544","45.1748565539","Eastern Garter Snake","Richland Drive, Richmond, Ottawa, ON, Canada",28365,"Thamnophis sirtalis sirtalis","subspecies","48460/1/2/355675/26036/26172/85553/26504/532896/28339/28362",152264,"Eastern Garter Snake",TRUE,"English",26036,"Reptilia","class",50
141257650,"2022-11-06","-62.8477545255","46.4330469165","Red-bellied Snake","Prince Edward Island, St. Patrick's Parish, PE, CA",28557,"Storeria occipitomaculata","species","48460/1/2/355675/26036/26172/85553/26504/532896/28555",136926,"Red-bellied Snake",TRUE,"English",26036,"Reptilia","class",50
141171683,"2022-11-05","-75.7335283333","44.9439166667","Red-bellied Snake","Craig Rd, North Grenville, ON, CA",28557,"Storeria occipitomaculata","species","48460/1/2/355675/26036/26172/85553/26504/532896/28555",136926,"Red-bellied Snake",TRUE,"English",26036,"Reptilia","class",50
141171647,"2022-11-05","-75.7335283333","44.9439166667","Red-bellied Snake","Craig Rd, North Grenville, ON, CA",28557,"Storeria occipitomaculata","species","48460/1/2/355675/26036/26172/85553/26504/532896/28555",136926,"Red-bellied Snake",TRUE,"English",26036,"Reptilia","class",50
141171414,"2022-11-05","-75.7358866667","44.94265","Red-bellied Snake","Craig Rd, North Grenville, ON, CA",28557,"Storeria occipitomaculata","species","48460/1/2/355675/26036/26172/85553/26504/532896/28555",136926,"Red-bellied Snake",TRUE,"English",26036,"Reptilia","class",50
141171342,"2022-11-05","-75.7345966667","44.9434666667","Red-bellied Snake","Craig Rd, North Grenville, ON, CA",28557,"Storeria occipitomaculata","species","48460/1/2/355675/26036/26172/85553/26504/532896/28555",136926,"Red-bellied Snake",TRUE,"English",26036,"Reptilia","class",50
141129263,"2022-11-04","-75.6784216667","44.96497","American Bullfrog","Bridge St, North Grenville, ON, CA",65979,"Lithobates catesbeianus","species","48460/1/2/355675/20978/20979/25473/60340",30357,"American Bullfrog",TRUE,"English",20978,"Amphibia","class",50
141103762,"2022-11-04","-123.5473991","48.520974","Rough-skinned Newt","Malahat, BC V0R 2L0, Canada",27826,"Taricha granulosa","species","48460/1/2/355675/20978/26718/27701/787591/27816",34308,"Rough-skinned Newt",TRUE,"English",20978,"Amphibia","class",50
141103713,"2022-11-04","-123.5534061997","48.5258492997","Northern Alligator Lizard","Malahat, BC V0R 2L0, Canada",32064,"Elgaria coerulea","species","48460/1/2/355675/26036/26172/85552/31888/797512/32049",79676,"Northern Alligator Lizard",TRUE,"English",26036,"Reptilia","class",50
141092622,"2022-11-04","-81.3031026493","42.9058334709","Midland Painted Turtle","Middlesex, CA-ON, CA",39772,"Chrysemys picta marginata","subspecies","48460/1/2/355675/26036/39532/39760/797544/39770/39771",151468,"Midland Painted Turtle",TRUE,"English",26036,"Reptilia","class",50
141092350,"2022-11-04","-83.073875","42.263805","Northern Redbelly Snake","Matchette Rd, Windsor, ON, CA",28559,"Storeria occipitomaculata occipitomaculata","subspecies","48460/1/2/355675/26036/26172/85553/26504/532896/28555/28557",99026,"Northern Redbelly Snake",TRUE,"English",26036,"Reptilia","class",50
141072560,"2022-11-04","-79.8171916667","44.1365555029","Red-bellied Snake","13th Line, Alliston, ON, CA",28557,"Storeria occipitomaculata","species","48460/1/2/355675/26036/26172/85553/26504/532896/28555",136926,"Red-bellied Snake",TRUE,"English",26036,"Reptilia","class",50
141026053,"2022-11-03","-76.23047971","45.20366952","Eastern Garter Snake","Lanark, CA-ON, CA",28365,"Thamnophis sirtalis sirtalis","subspecies","48460/1/2/355675/26036/26172/85553/26504/532896/28339/28362",152264,"Eastern Garter Snake",TRUE,"English",26036,"Reptilia","class",50
141025901,"2022-11-03","-76.22924777","45.20437866","Northern Watersnake","Lanark, CA-ON, CA",29306,"Nerodia sipedon sipedon","subspecies","48460/1/2/355675/26036/26172/85553/26504/532896/29299/29305",1863833,"Northern Watersnake",TRUE,"English",26036,"Reptilia","class",50
141025040,"2022-11-03","-75.7176583333","44.95187","Red-bellied Snake","Craig Rd, North Grenville, ON, CA",28557,"Storeria occipitomaculata","species","48460/1/2/355675/26036/26172/85553/26504/532896/28555",136926,"Red-bellied Snake",TRUE,"English",26036,"Reptilia","class",50
141011955,"2022-10-31","-79.7294444444","44.8235611111","Dekay's Brownsnake","Port Severn, ON L0K 1S0, Canada",28562,"Storeria dekayi","species","48460/1/2/355675/26036/26172/85553/26504/532896/28555",226021,"Dekay's Brownsnake",TRUE,"English",26036,"Reptilia","class",50
140995123,"2022-11-03","-81.4630064579","42.986785604","Midland Painted Turtle","Middlesex, CA-ON, CA",39772,"Chrysemys picta marginata","subspecies","48460/1/2/355675/26036/39532/39760/797544/39770/39771",151468,"Midland Painted Turtle",TRUE,"English",26036,"Reptilia","class",50
140986589,"2022-11-02","-123.4759629722","48.4310509722","Rough-skinned Newt","Victoria, BC V9C 1T3, Canada",27826,"Taricha granulosa","species","48460/1/2/355675/20978/26718/27701/787591/27816",34308,"Rough-skinned Newt",TRUE,"English",20978,"Amphibia","class",50
140895582,"2022-11-02","-81.5854817399","42.9384666453","Frogs and Toads","Middlesex, CA-ON, CA",20979,"Anura","order","48460/1/2/355675/20978",85005,"Frogs and Toads",TRUE,"English",20978,"Amphibia","class",50
140895536,"2022-11-02","-81.4109855313","42.8716684648","Frogs and Toads","Middlesex, CA-ON, CA",20979,"Anura","order","48460/1/2/355675/20978",85005,"Frogs and Toads",TRUE,"English",20978,"Amphibia","class",50
140895485,"2022-11-02","-81.4594058228","42.8836634208","Frogs and Toads","Middlesex, CA-ON, CA",20979,"Anura","order","48460/1/2/355675/20978",85005,"Frogs and Toads",TRUE,"English",20978,"Amphibia","class",50
140895427,"2022-11-02","-81.5881338412","42.9937463785","American Toad","Middlesex, CA-ON, CA",64968,"Anaxyrus americanus","species","48460/1/2/355675/20978/20979/21359/64747",25665,"American Toad",TRUE,"English",20978,"Amphibia","class",50
140892958,"2022-10-31","-75.7197033333","44.9542466667","Northern Redbelly Snake","Murphy Rd, North Grenville, ON, CA",28559,"Storeria occipitomaculata occipitomaculata","subspecies","48460/1/2/355675/26036/26172/85553/26504/532896/28555/28557",99026,"Northern Redbelly Snake",TRUE,"English",26036,"Reptilia","class",50
140798075,"2022-11-01","-81.5739082211","42.8503026749","Frogs and Toads","Middlesex, CA-ON, CA",20979,"Anura","order","48460/1/2/355675/20978",85005,"Frogs and Toads",TRUE,"English",20978,"Amphibia","class",50
140788418,"2022-11-01","-79.6544372997","43.0576216997","Eastern Garter Snake","Caistor Centre, ON L0R 1E0, Canada",28365,"Thamnophis sirtalis sirtalis","subspecies","48460/1/2/355675/26036/26172/85553/26504/532896/28339/28362",152264,"Eastern Garter Snake",TRUE,"English",26036,"Reptilia","class",50
140778294,"2022-11-01","-75.72425","44.948575","Northern Redbelly Snake","Craig Rd, North Grenville, ON, CA",28559,"Storeria occipitomaculata occipitomaculata","subspecies","48460/1/2/355675/26036/26172/85553/26504/532896/28555/28557",99026,"Northern Redbelly Snake",TRUE,"English",26036,"Reptilia","class",50
140778267,"2022-11-01","-75.723555","44.948905","","Craig Rd, North Grenville, ON, CA",65982,"Lithobates clamitans","species","48460/1/2/355675/20978/20979/25473/60340",30369,"Green Frog",TRUE,"English",20978,"Amphibia","class",50
140778181,"2022-11-01","-75.7192616667","44.9508133333","Frogs and Toads","Craig Rd, North Grenville, ON, CA",20979,"Anura","order","48460/1/2/355675/20978",85005,"Frogs and Toads",TRUE,"English",20978,"Amphibia","class",50
140778032,"2022-11-01","-75.7236633333","44.9488866667","Frogs and Toads","Craig Rd, North Grenville, ON, CA",20979,"Anura","order","48460/1/2/355675/20978",85005,"Frogs and Toads",TRUE,"English",20978,"Amphibia","class",50
140733124,"2022-10-25","-79.7595107902","44.814901373","Massasauga","Ontario, CA",520469,"Sistrurus catenatus","species","48460/1/2/355675/26036/26172/85553/30667/797576/30979",893262,"Massasauga",TRUE,"English",26036,"Reptilia","class",50
140661115,"2022-10-31","-77.237100975","45.8902025315","Common Snapping Turtle","Petawawa Terrace Provincial Park, Petawawa, ON, CA",39682,"Chelydra serpentina","species","48460/1/2/355675/26036/39532/39680/39681",202145,"Common Snapping Turtle",TRUE,"English",26036,"Reptilia","class",50
140569355,"2022-10-25","-73.8265486707","45.714576952","Smooth Greensnake","Terrebonne, QC, Canada",146314,"Opheodrys vernalis","species","48460/1/2/355675/26036/26172/85553/26504/797520/29199",308198,"Smooth Greensnake",TRUE,"English",26036,"Reptilia","class",50
140442804,"2022-10-28","-123.5457329722","48.3544499722","Rough-skinned Newt","William Head at Sandgate, Metchosin, BC V9C 4H5, Canada",27826,"Taricha granulosa","species","48460/1/2/355675/20978/26718/27701/787591/27816",34308,"Rough-skinned Newt",TRUE,"English",20978,"Amphibia","class",50
140365046,"2021-05-21","-79.4818367799","44.8688623183","Smooth Greensnake","Muskoka, CA-ON, CA",146314,"Opheodrys vernalis","species","48460/1/2/355675/26036/26172/85553/26504/797520/29199",308198,"Smooth Greensnake",TRUE,"English",26036,"Reptilia","class",50
140311370,"2022-10-17","-75.7197716667","44.9508366667","Red-bellied Snake","Craig Rd, North Grenville, ON, CA",28557,"Storeria occipitomaculata","species","48460/1/2/355675/26036/26172/85553/26504/532896/28555",136926,"Red-bellied Snake",TRUE,"English",26036,"Reptilia","class",50
140311351,"2022-10-17","-75.7205883333","44.9503533333","Red-bellied Snake","Craig Rd, North Grenville, ON, CA",28557,"Storeria occipitomaculata","species","48460/1/2/355675/26036/26172/85553/26504/532896/28555",136926,"Red-bellied Snake",TRUE,"English",26036,"Reptilia","class",50
140310882,"2022-10-20","-75.72348","44.9489966667","Blue-spotted Salamander","Craig Rd, North Grenville, ON, CA",52354,"Ambystoma laterale","species","48460/1/2/355675/20978/26718/26720/26721",83063,"Blue-spotted Salamander",TRUE,"English",20978,"Amphibia","class",50
140310058,"2022-10-23","-75.7229616667","44.9491833333","Red-bellied Snake","Craig Rd, North Grenville, ON, CA",28557,"Storeria occipitomaculata","species","48460/1/2/355675/26036/26172/85553/26504/532896/28555",136926,"Red-bellied Snake",TRUE,"English",26036,"Reptilia","class",50
140310033,"2022-10-23","-75.7235033333","44.9492","Red-bellied Snake","Craig Rd, North Grenville, ON, CA",28557,"Storeria occipitomaculata","species","48460/1/2/355675/26036/26172/85553/26504/532896/28555",136926,"Red-bellied Snake",TRUE,"English",26036,"Reptilia","class",50
140309767,"2022-10-24","-75.7238533333","44.9486666667","Red-bellied Snake","Craig Rd, North Grenville, ON, CA",28557,"Storeria occipitomaculata","species","48460/1/2/355675/26036/26172/85553/26504/532896/28555",136926,"Red-bellied Snake",TRUE,"English",26036,"Reptilia","class",50
140309710,"2022-10-24","-75.7181033333","44.9521966667","Red-bellied Snake","Craig Rd, North Grenville, ON, CA",28557,"Storeria occipitomaculata","species","48460/1/2/355675/26036/26172/85553/26504/532896/28555",136926,"Red-bellied Snake",TRUE,"English",26036,"Reptilia","class",50
140309662,"2022-10-24","-75.7187633333","44.9530333333","Red-bellied Snake","Murphy Rd, North Grenville, ON, CA",28557,"Storeria occipitomaculata","species","48460/1/2/355675/26036/26172/85553/26504/532896/28555",136926,"Red-bellied Snake",TRUE,"English",26036,"Reptilia","class",50
140309618,"2022-10-24","-75.7197283333","44.9540033333","Red-bellied Snake","Murphy Rd, North Grenville, ON, CA",28557,"Storeria occipitomaculata","species","48460/1/2/355675/26036/26172/85553/26504/532896/28555",136926,"Red-bellied Snake",TRUE,"English",26036,"Reptilia","class",50
140309505,"2022-10-24","-75.7189416667","44.9534383333","Red-bellied Snake","Murphy Rd, North Grenville, ON, CA",28557,"Storeria occipitomaculata","species","48460/1/2/355675/26036/26172/85553/26504/532896/28555",136926,"Red-bellied Snake",TRUE,"English",26036,"Reptilia","class",50
140309405,"2022-10-24","-75.7188866667","44.9533466667","Red-bellied Snake","Murphy Rd, North Grenville, ON, CA",28557,"Storeria occipitomaculata","species","48460/1/2/355675/26036/26172/85553/26504/532896/28555",136926,"Red-bellied Snake",TRUE,"English",26036,"Reptilia","class",50
140309336,"2022-10-24","-75.7187416667","44.9531883333","Red-bellied Snake","Murphy Rd, North Grenville, ON, CA",28557,"Storeria occipitomaculata","species","48460/1/2/355675/26036/26172/85553/26504/532896/28555",136926,"Red-bellied Snake",TRUE,"English",26036,"Reptilia","class",50
140309295,"2022-10-24","-75.7185833333","44.951375","Red-bellied Snake","Craig Rd, North Grenville, ON, CA",28557,"Storeria occipitomaculata","species","48460/1/2/355675/26036/26172/85553/26504/532896/28555",136926,"Red-bellied Snake",TRUE,"English",26036,"Reptilia","class",50
140309219,"2022-10-25","-75.7185833333","44.9530333333","Red-bellied Snake","Murphy Rd, North Grenville, ON, CA",28557,"Storeria occipitomaculata","species","48460/1/2/355675/26036/26172/85553/26504/532896/28555",136926,"Red-bellied Snake",TRUE,"English",26036,"Reptilia","class",50
140309121,"2022-10-24","-75.7187416667","44.9531883333","Red-bellied Snake","Murphy Rd, North Grenville, ON, CA",28557,"Storeria occipitomaculata","species","48460/1/2/355675/26036/26172/85553/26504/532896/28555",136926,"Red-bellied Snake",TRUE,"English",26036,"Reptilia","class",50
140303995,"2022-10-26","-75.7203616667","44.9505833333","Blue-spotted Salamander","Craig Rd, North Grenville, ON, CA",52354,"Ambystoma laterale","species","48460/1/2/355675/20978/26718/26720/26721",83063,"Blue-spotted Salamander",TRUE,"English",20978,"Amphibia","class",50
140303884,"2022-10-27","-75.72103","44.9501416667","American Toad","Craig Rd, North Grenville, ON, CA",64968,"Anaxyrus americanus","species","48460/1/2/355675/20978/20979/21359/64747",25665,"American Toad",TRUE,"English",20978,"Amphibia","class",50
